# recomp/names_proposals_hand_2026-09-25.csv -- Sprint 13 Task N1: Pass=hand, the runtime's own names for the guest routines it replaces or wraps.
# Rule: a row is an address the runtime binds (game_overrides_socom2.cpp's replaceFunction calls, the socom2_addresses.h kR0001 column) whose csv Name is a placeholder AND that has no sidecar row; its name is the runtime's identifier for it -- the address table's field name, or for a loader address the host function's name less `socom2_`.
# Evidence is file:line under third_party/ps2recomp/ps2xRuntime/; a hand row carries evidence and no Score (tools_py/apply_names.py HAND_PASS). Addresses already named in the sidecar are not proposed (D2): the runtime's name for each agrees with or is coarser than the name they carry.
# Apply: python -m tools_py.apply_names recomp/socom2_ghidra.csv recomp/socom2_names.csv <this> --holds recomp/socom2_name_holds.csv; r0004: python -m tools_py.apply_names recomp/socom2_ghidra_r0004.csv recomp/socom2_names_r0004.csv <this> --through game/r0004/match.json (exact placements only).
Address,Current,Proposed,Mangled,Pass,Evidence
0x002918b0,FUN_002918b0,camCfg,camCfg,hand,include/runtime/socom2_addresses.h:149 the kR0001 row camCfg; include/runtime/socom2_addresses.h:92 the field (the camera config record apply); bound at src/lib/game_overrides_socom2.cpp:2159 socom2_CamCfgTrace
0x002f4ef0,FUN_002f4ef0,chatFanoutRecv,chatFanoutRecv,hand,include/runtime/socom2_addresses.h:162 the kR0001 row chatFanoutRecv; include/runtime/socom2_addresses.h:102 the field (the chat receive fan-out (milestone S)); bound at include/runtime/socom2_chat.h:11 kFanoutRecvAddr; src/lib/game_overrides_socom2.cpp:1739 socom2_ChatFanoutBound
0x002f5020,FUN_002f5020,chatListRender,chatListRender,hand,"include/runtime/socom2_addresses.h:163 the kR0001 row chatListRender; include/runtime/socom2_addresses.h:103 the field (the second reader of the same records (milestone S, Task 2b)); bound at src/lib/game_overrides_socom2.cpp:1750 socom2_ChatListBound"
0x00336cb0,FUN_00336cb0,flush,flush,hand,include/runtime/socom2_addresses.h:151 the kR0001 row flush; include/runtime/socom2_addresses.h:94 the field (the deferred draw flush); bound at src/lib/game_overrides_socom2.cpp:2169 socom2_FlushTrace
0x003371b0,FUN_003371b0,defer,defer,hand,include/runtime/socom2_addresses.h:150 the kR0001 row defer; include/runtime/socom2_addresses.h:93 the field (the deferred draw enqueue); bound at src/lib/game_overrides_socom2.cpp:2164 socom2_DeferTrace
0x00338480,FUN_00338480,node,node,hand,include/runtime/socom2_addresses.h:145 the kR0001 row node; include/runtime/socom2_addresses.h:88 the field (scene node walk 1); bound at src/lib/game_overrides_socom2.cpp:2139 socom2_NodeTrace
0x003389c0,FUN_003389c0,node2,node2,hand,include/runtime/socom2_addresses.h:146 the kR0001 row node2; include/runtime/socom2_addresses.h:89 the field (scene node walk 2); bound at src/lib/game_overrides_socom2.cpp:2144 socom2_NodeTrace2
0x0034afd0,FUN_0034afd0,musicManager,musicManager,hand,include/runtime/socom2_addresses.h:152 the kR0001 row musicManager; include/runtime/socom2_addresses.h:95 the field (the per-frame music manager (PS2X_SOCOM2_MUSIC_TRACE)); bound at src/lib/game_overrides_socom2.cpp:1449 socom2_MusicManagerTrace
0x0034b6c0,FUN_0034b6c0,cuePush,cuePush,hand,include/runtime/socom2_addresses.h:153 the kR0001 row cuePush; include/runtime/socom2_addresses.h:96 the field (the music cue push); bound at src/lib/game_overrides_socom2.cpp:1450 socom2_MusicPushTrace
0x0038d770,FUN_0038d770,oskOpen,oskOpen,hand,include/runtime/socom2_addresses.h:159 the kR0001 row oskOpen; include/runtime/socom2_addresses.h:99 the field (the on-screen keyboard's GetTextInput handler); bound at include/runtime/socom2_osk_prefill.h:25 kOskOpenAddr; src/lib/game_overrides_socom2.cpp:1590 socom2_OskOpenPrefill
0x003b6e10,FUN_003b6e10,detail,detail,hand,include/runtime/socom2_addresses.h:148 the kR0001 row detail; include/runtime/socom2_addresses.h:91 the field (the detail selection); bound at src/lib/game_overrides_socom2.cpp:2154 socom2_DetailTrace
0x00620648,FUN_00620648,rtNetConfigInit,rtNetConfigInit,hand,include/runtime/socom2_addresses.h:142 the kR0001 row rtNetConfigInit; include/runtime/socom2_addresses.h:85 the field (the RtNet config init the runtime replaces wholesale); bound at src/lib/game_overrides_socom2.cpp:1513 socom2_RtNetConfigInit
0x0062a5a8,FUN_0062a5a8,dnasRc4SetKey,dnasRc4SetKey,hand,include/runtime/socom2_addresses.h:183 the kR0001 row dnasRc4SetKey; include/runtime/socom2_addresses.h:129 the field; bound at src/lib/game_overrides_socom2.cpp:2290 socom2_crypto::rc4SetKey
0x0062a638,FUN_0062a638,dnasRc4SetKeyHash,dnasRc4SetKeyHash,hand,include/runtime/socom2_addresses.h:182 the kR0001 row dnasRc4SetKeyHash; include/runtime/socom2_addresses.h:128 the field; bound at src/lib/game_overrides_socom2.cpp:2289 socom2_crypto::rc4SetKeyHash
0x0062a720,FUN_0062a720,dnasRc4Encrypt,dnasRc4Encrypt,hand,include/runtime/socom2_addresses.h:184 the kR0001 row dnasRc4Encrypt; include/runtime/socom2_addresses.h:130 the field; bound at src/lib/game_overrides_socom2.cpp:2291 socom2_crypto::rc4EncryptFn
0x0062a7c8,FUN_0062a7c8,dnasRc4Decrypt,dnasRc4Decrypt,hand,include/runtime/socom2_addresses.h:185 the kR0001 row dnasRc4Decrypt; include/runtime/socom2_addresses.h:131 the field; bound at src/lib/game_overrides_socom2.cpp:2292 socom2_crypto::rc4DecryptFn
0x0062eec0,FUN_0062eec0,dnasSha1Hash,dnasSha1Hash,hand,include/runtime/socom2_addresses.h:181 the kR0001 row dnasSha1Hash; include/runtime/socom2_addresses.h:127 the field; bound at src/lib/game_overrides_socom2.cpp:2288 socom2_crypto::sha1Hash
0x00637510,FUN_00637510,serverMemRead,serverMemRead,hand,include/runtime/socom2_addresses.h:187 the kR0001 row serverMemRead; include/runtime/socom2_addresses.h:136 the field (the handler of the record that reads game memory back); bound at include/runtime/socom2_server_records.h:116 refuseRead
0x00637900,FUN_00637900,serverMemWrite,serverMemWrite,hand,include/runtime/socom2_addresses.h:186 the kR0001 row serverMemWrite; include/runtime/socom2_addresses.h:135 the field (the handler of the record that writes game memory); bound at include/runtime/socom2_server_records.h:115 refuseWrite
